"","GeneSymbol","log2FoldChange","pvalue","padj"
"233","APEX1",-0.386295395522903,0.0106133499451196,0.224518375778059
"234","HDLBP",-0.0560613929506757,0.662458092488471,0.908387664078088
"235","LTF",-0.307838828145092,0.504207628821387,0.839205359856973
"236","MLF2",-0.12066118684325,0.394393189202169,0.78164803218039
"237","NDRG1",0.0363181728133409,0.864881777528054,0.967227422445359
"238","ANXA2",-0.0390973510117874,0.804158942998046,0.948783461760004
"239","HNRNPA1",-0.227987243824132,0.0602673824558467,0.412700385246581
"240","C1QB",-0.247665310769549,0.323167585058286,0.730676331854017
"241","THSD4",-0.00151883003463408,0.996428745714268,0.999130667796135
"242","MYL6",-0.47847353462583,0.00324758994797078,0.152104230797894
"243","IGKV3-20",0.664325542175413,0.209698968537584,0.637012020745612
"244","GRN",-0.076632836463904,0.598018135197237,0.881210629039072
"245","MARCKSL1",-0.0492110556234173,0.766856009285873,0.942237535168322
"246","TXNIP",-0.155233157935739,0.420468587586011,0.796229415317809
"247","IGLC2",0.836834647228018,0.0980539363564295,0.492620724177745
"248","CHI3L1",-0.235355657973033,0.434262591008326,0.801674139298521
"249","C1QC",-0.220971711385151,0.359657061278766,0.758151771686162
"250","PDXDC1",-0.123067379548822,0.243034646101175,0.667274184718847
"251","DCN",0.312254670262438,0.274811306903513,0.691151910354021
"252","ITM2C",-0.139373429233534,0.644870412317472,0.902652280627498
"253","ZFP36",0.147278056775471,0.56146367043834,0.866858671585473
"254","CRIP2",-0.255536642370341,0.163917265162348,0.584096653778002
"255","VIM",0.043374769360158,0.827654583160082,0.955940833175592
"256","TIMP3",0.482862621102084,0.115057596300137,0.519187405747588
"257","AHNAK",0.276137991805826,0.0678504658485992,0.432792341724648
"258","APLP2",0.101090874394757,0.49496331898075,0.834707902437544
"259","CTXN1",-0.363759908707906,0.152991696687412,0.570602099047267
"260","ZFP36L1",-0.0710536986024002,0.518108573835429,0.846743403649903
"261","GIPC1",-0.0524813895259922,0.789805820594868,0.944043994313731
"262","HLA-DRB1",-0.319850520012052,0.202008462913378,0.629166151725674
"263","PLXNB2",0.173886460918897,0.247023597334199,0.670223305403879
"264","GSN",-0.10342778181308,0.579907940020383,0.874588684277436
"265","CLDN6",0.630800326380577,0.160985667027936,0.580828734119626
"266","PLD3",0.122400763790683,0.503526531303676,0.838927822235783
"267","MMP2",0.558945595074398,0.0494526064193663,0.38375527226269
"268","PODXL",0.0699529075581888,0.786882091313664,0.942532745394689
"269","ALPG",-3.60027216030273,2.33329937393503e-10,2.65062808879019e-06
"270","HLA-DPA1",-0.307267384490291,0.226119856044024,0.653661992035731
"271","RPS2P5",-0.255329382127737,0.291405920261227,0.705748045743924
"272","DDR1",-0.0349344796355009,0.783104210958126,0.942237535168322
"273","ERBB2",-0.443112731643132,0.0434593794350832,0.369906237740225
"274","SPOCK2",0.253615284754221,0.36669892656599,0.764488861403862
"275","NACC1",0.0648541631577303,0.686565172045474,0.917844113496508
"276","MEST",-0.60795692545884,0.0239341480807923,0.294124130491631
"277","TSC22D1",-0.208110017179578,0.230230657524577,0.65787715009845
"278","NEAT1",0.520225192131111,0.0521891748391606,0.391339387904148
"279","YWHAE",-0.0256991464044114,0.839977290117736,0.959053590694362
"280","KLK7",-0.0237598746351007,0.933884792630401,0.98442784698339
"281","DUSP1",0.175180293467597,0.531431725396246,0.853355629443969
"282","VTCN1",-0.90173996168827,0.013024697287808,0.243154700708706
"283","BHLHE41",0.23005206454467,0.356733046267802,0.755513432437259
"284","SELENBP1",-0.710389617536949,0.00357017813214591,0.156591596838523
"285","ISYNA1",-0.115166999321128,0.566262125674959,0.869347624524297
"286","BSG",-0.327141788041008,0.0190578204447525,0.273768175871435
"287","ADAR",-0.00816289508097326,0.94306612187228,0.987076163861344
"288","FOSB",0.859954677135534,0.051244244158597,0.389316991961334
"289","PGK1",-0.241722371231414,0.0699988110138745,0.437259358606259
"290","HDGF",-0.0780816833373393,0.459298796283377,0.816275708038042
"291","IGFBP3",-0.221299657979178,0.305241624603795,0.717036339890944
"292","HSPA5",-0.0925313539090651,0.396223367922066,0.782974814955913
"293","CLNS1A",-0.197781950435555,0.309008592581255,0.720479830277325
"294","PRRC2A",0.150782315126381,0.186562054121124,0.61093829196194
"295","HLA-E",-0.000549724613306449,0.997112861707274,0.999130667796135
"296","CAPNS1",-0.0579532662536999,0.666432929336693,0.909868783416217
"297","FKBP8",-0.145336124055305,0.306521943066417,0.718178668296277
"298","ATP2B4",0.203976705083587,0.2090938876113,0.636249060682328
"299","CLDN16",0.378392173269072,0.379728137526033,0.77257573620212
"300","NPM1",-0.0393107355295291,0.776801208352854,0.942237535168322
"301","CALM2",-0.192166282245369,0.133778335261491,0.546295924798774
"302","BTF3",-0.279250822244481,0.0843800770983939,0.469148194602613
"303","ERGIC3",-0.0281173765764312,0.851146515675171,0.963329128917994
"304","PEA15",-0.158418222012778,0.236883073425555,0.66231644452727
"305","CD63",-0.275912956544454,0.0485548091602942,0.381818661353873
"306","ARF1",0.0718221719040654,0.459514054294582,0.816466005825118
